"","",""
"","",""
"LBK 4,X1,X3 en X5","Warmtewiel (status) - Warmtewiel - 03-131WW01","Windheim_OS3_GRFSYS_6"
"LBK 4,X1,X3 en X5","Toevoerluchtklep sturing - Toevoerluchtklep - 03-1","Windheim_OS3_GRFSYS_12"
"LBK 4,X1,X3 en X5","Retourluchttemperatuur - 03-131TE03","Windheim_OS3_GRFMET_14"
"LBK 4,X1,X3 en X5","Filter afzuigkanaal - 03-131PDT02","Windheim_OS3_GRFMET_11"
"LBK 4,X1,X3 en X5","Inblaastemperatuur - 03-131TE02","Windheim_OS3_GRFMET_13"
"LBK 4,X1,X3 en X5","Druk toevoerkanaal - 03-131PT01","Windheim_OS3_GRFMET_7"
"LBK 4,X1,X3 en X5","Filter aanzuigkanaal - 03-131PDT01","Windheim_OS3_GRFMET_10"
"LBK 4,X1,X3 en X5","Aanzuigluchttemperatuur - 03-131TE01","Windheim_OS3_GRFMET_12"
"LBK 4,X1,X3 en X5","PID warmtewiel als verwarmer berekende waarde - Wa","Windheim_OS3_GRFPID_1"
"LBK 4,X1,X3 en X5","PID warmtewiel als koeler berekende waarde - Warmt","Windheim_OS3_GRFPID_2"
"LBK 4,X1,X3 en X5","Ber.inblaastemperatuur bedrijf - Temperatuurregeli","Windheim_OS3_GRFSYS_22"
"","",""
"","",""
"LBK 1 , X6, X8 en X10","Afzuigventilator (status) - Afzuigventilator - 07-","Windheim_OS7_GRFSYS_19"
"LBK 1 , X6, X8 en X10","Toerenreg. afzuigvent. regelaar percentage - Toere","Windheim_OS7_GRFSYS_20"
"LBK 1 , X6, X8 en X10","Filter afzuigkanaal - 07-230PDT02","Windheim_OS7_GRFMET_11"
"LBK 1 , X6, X8 en X10","Retourluchttemperatuur - 07-230TE03","Windheim_OS7_GRFMET_14"
"LBK 1 , X6, X8 en X10","Ruimtetemperatuur (meting) - Ruimtetemperatuur","Windheim_OS7_GRFSYS_21"
"LBK 1 , X6, X8 en X10","Overwerk (status) - Overwerk - 07-230KS01","Windheim_OS7_GRFSYS_2"
"LBK 1 , X6, X8 en X10","Inblaastemperatuur - 07-230TE02","Windheim_OS7_GRFMET_13"
"LBK 1 , X6, X8 en X10","Ber.inblaastemperatuur bedrijf - Temperatuurregeli","Windheim_OS7_GRFSYS_6"
"LBK 1 , X6, X8 en X10","Druk toevoerkanaal - 07-230PT01","Windheim_OS7_GRFMET_7"
"LBK 1 , X6, X8 en X10","Gew.druk toevoerkanaal - Toerenreg. toevoervent. -","Windheim_OS7_GRFSYS_17"
"LBK 1 , X6, X8 en X10","Toevoerventilator (status) - Toevoerventilator - 0","Windheim_OS7_GRFSYS_14"
"LBK 1 , X6, X8 en X10","Toerenreg. toevoervent. regelaar percentage - Toer","Windheim_OS7_GRFSYS_15"
"LBK 1 , X6, X8 en X10","Afsluiter koeler percentage - Afsluiter koeler - 0","Windheim_OS7_GRFSYS_12"
"LBK 1 , X6, X8 en X10","Afsluiter verwarmer percentage - Afsluiter verwarm","Windheim_OS7_GRFSYS_10"
"LBK 1 , X6, X8 en X10","Circ.pomp verwarmer (status) - Circ.pomp verwarmer","Windheim_OS7_GRFSYS_11"
"LBK 1 , X6, X8 en X10","Functie energieterugwinning - Warmtewiel - 07-230W","Windheim_OS7_GRFSYS_9"
"LBK 1 , X6, X8 en X10","Warmtewiel (status) - Warmtewiel - 07-230WW01","Windheim_OS7_GRFSYS_7"
"LBK 1 , X6, X8 en X10","Filter aanzuigkanaal - 07-230PDT01","Windheim_OS7_GRFMET_10"
"LBK 1 , X6, X8 en X10","Aanzuigluchttemperatuur - 07-230TE01","Windheim_OS7_GRFMET_12"
"LBK 1 , X6, X8 en X10","Afzuigluchtklep (status) - Afzuigluchtklep - 07-23","Windheim_OS7_GRFSYS_18"
"LBK 1 , X6, X8 en X10","Toevoerluchtklep (status) - Toevoerluchtklep - 07-","Windheim_OS7_GRFSYS_13"
"LBK 1 , X6, X8 en X10","PID warmtewiel als koeler berekende waarde - Warmt","Windheim_OS7_GRFPID_2"
"LBK 1 , X6, X8 en X10","PID warmtewiel als verwarmer berekende waarde - Wa","Windheim_OS7_GRFPID_1"
"","",""
"","",""
"LBK 2, X2 en X4","Afzuigventilator (status) - Afzuigventilator - 08-","Windheim_OS8_GRFSYS_20"
"LBK 2, X2 en X4","Toerenreg. afzuigvent. regelaar percentage - Toere","Windheim_OS8_GRFSYS_21"
"LBK 2, X2 en X4","Filter afzuigkanaal - 08-231PDT02","Windheim_OS8_GRFMET_11"
"LBK 2, X2 en X4","Retourluchttemperatuur - 08-231TE03","Windheim_OS8_GRFMET_14"
"LBK 2, X2 en X4","Ruimtetemperatuur (meting) - Ruimtetemperatuur","Windheim_OS8_GRFSYS_22"
"LBK 2, X2 en X4","Overwerk (status) - Overwerk - 08-231KS01","Windheim_OS8_GRFSYS_3"
"LBK 2, X2 en X4","Inblaastemperatuur - 08-231TE02","Windheim_OS8_GRFMET_13"
"LBK 2, X2 en X4","Ber.inblaastemperatuur bedrijf - Temperatuurregeli","Windheim_OS8_GRFSYS_5"
